Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3,
1276-1002-1-ND,TDK,CL05B104KP5NNNC,C15/C16/C17/C21/C22/C23/C24/C26/C27/C28/C30/C32/C37/C41/C42/C43/C44/C48/C49/C50/C54/C55/C56/C62/C63/C64/C65/C66/C67/C68/C69/C70/C71/C72,34,170,850,
445-4996-1-ND,TDK,C1005X5R0J474K050BB,C4/C5/C12/C13/C14/C39/C40/C46/C47/C52/C53/C58/C59,13,65,325,
587-1840-1-ND,Taiyo Yuden,BK1005HS100-T,FB1/FB2,2,10,50,
P1.00KLCT-ND,Panasonic,ERJ-2RKF1001X,R1/R18/R27/R29/R31/R36/R46/R47,8,40,200,
445-1415-1-ND,TDK,C1005X5R0J105M050BB,C60/C61,2,10,50,
1276-6207-1-ND,Samsung,CIG22E1R0MNE,L1/L2/L3,3,15,75,
P2.20KLCT-ND,Panasonic,ERJ-2RKF2201X,R26,1,5,25,
P2.40KLCT-ND,Panasonic,ERJ-2RKF2401X,R32,1,5,25,
P4.70KLCT-ND,Panasonic,ERJ-2RKF4701X,R37/R40/R42/R43,4,20,100,
122-1735-ND,Xilinx,XC6SLX45-3CSG324C,2,1,5,25,
P10.0KLCT-ND,Panasonic,ERJ-2RKF1002X,R17/R19/R20/R22/R23/R24/R25/R28/R30/R33/R35/R39/R48/R49,14,70,350,
P12.0KLCT-ND,Panasonic,ERJ-2RKF1202X,R21,1,5,25,
CTX694CT-ND,CTS,636L3C020M00000,Y2,1,5,25,
1276-1153-1-ND,Samsung,CL05C270JB5NNNC,C35/C36,2,10,50,
445-3610-1-ND,TDK,GLFR1608T470M-LR,L4/L5,2,10,50,
P51.0LCT-ND,Panasonic,ERJ-2RKF51R0X,R2/R3/R4,3,15,75,
P71.5KLCT-ND,Panasonic,ERJ-2RKF7152X,R6,1,5,25,
93LC46BT-I/OTCT-ND,Microchip Technology,93LC46BT-I/OT,5,1,5,25,
P100JCT-ND,Panasonic,ERJ-2GEJ101X,R34/R38/R45,3,15,75,
P100KLCT-ND,Panasonic,ERJ-2RKF1003X,R7/R8/R10/R12/R14/R16,6,30,150,
1276-1782-1-ND,Samsung,CL31A107MQHNNNE,C1/C2/C6/C10/C34,5,25,125,
P120LCT-ND,Panasonic,ERJ-2RKF1200X,R41,1,5,25,
P221KLCT-ND,Panasonic,ERJ-2RKF2213X,R11,1,5,25,
P240LCT-ND,Panasonic,ERJ-2RKF2400X,R44,1,5,25,
P274KLCT-ND,Panasonic,ERJ-2RKF2743X,R13,1,5,25,
P294KLCT-ND,Panasonic,ERJ-2RKF2943X,R15,1,5,25,
P309KLCT-ND,Panasonic,ERJ-2RKF3093X,R5,1,5,25,
P316KLCT-ND,Panasonic,ERJ-2RKF3163X,R9,1,5,25,
CTX839CT-ND,CTS,403C35D12M00000,Y1,1,5,25,
1450-1083-ND,Alliance Memory,AS4C128M16D3-12BCN,10,1,5,25,
768-1024-1-ND,FTDI,FT2232HL-REEL,4,1,5,25,
475-1409-1-ND,OSRAM,LG Q971-KN-1,LED1,1,5,25,
609-4614-1-ND,FCI,10029449-111RLF,X2/X3/X4,3,15,75,
576-4281-1-ND,Micrel,MIC23450-AAAYML TR,1,1,5,25,
RHM1635CT-ND,Rohm,MNR18ERAPJ510,RN1/RN2,2,10,50,
557-1561-ND,Micron,N25Q128A13EF840E,8,1,5,25,
P16274CT-ND,Panasonic,ENW-89841A3KF,18,1,5,25,
CP-037A-ND,CUI,PJ-037A,J1,1,5,25,
1080-1433-ND,Everlight Electronics,PLR135/T10,13/15,2,10,50,
1080-1430-ND,Everlight Electronics,PLT133/T10W,14,1,5,25,
S5520-ND,Sullins,PPTC062LJBN-RC,11/12,2,10,50,
296-29093-1-ND,TI,TPD4S014DSQR,3,1,5,25,
296-29690-1-ND,TI,TPD12S016PWR,6/7/9,3,15,75,
609-4613-1-ND,FCI,10118192-0001LF,X1,1,5,25,
475-2558-1-ND,OSRAM,LY Q976-P1S2-36,LED2,1,5,25,
